SEQUENCE,CLASSIFICATION
SRR20766474.13528.1,Non-viral
SRR20766474.13534.1,Non-viral
SRR20766474.13535.1,Non-viral
SRR20766474.13538.1,Non-viral
SRR20766474.13539.1,Non-viral
SRR20766474.13541.1,Non-viral
SRR20766474.13544.1,Non-viral
SRR20766474.13547.1,Non-viral
SRR20766474.13548.1,Non-viral
SRR20766474.13550.1,Non-viral
SRR20766474.13553.1,Non-viral
SRR20766474.13555.1,Non-viral
SRR20766474.13556.1,Non-viral
SRR20766474.13557.1,Non-viral
SRR20766474.13558.1,Non-viral
SRR20766474.13563.1,Non-viral
SRR20766474.13564.1,Non-viral
SRR20766474.13566.1,Non-viral
SRR20766474.13568.1,Non-viral
SRR20766474.13569.1,Non-viral
SRR20766474.13573.1,Non-viral
SRR20766474.13577.1,Non-viral
SRR20766474.13579.1,Non-viral
SRR20766474.13580.1,Non-viral
SRR20766474.13589.1,Non-viral
SRR20766474.13592.1,Non-viral
SRR20766474.13594.1,Non-viral
SRR20766474.13595.1,Non-viral
SRR20766474.13596.1,Non-viral
SRR20766474.13597.1,Non-viral
SRR20766474.13598.1,Non-viral
SRR20766474.13602.1,Non-viral
SRR20766474.13603.1,Non-viral
SRR20766474.13605.1,Non-viral
SRR20766474.13606.1,Non-viral
SRR20766474.13608.1,Non-viral
SRR20766474.13612.1,Non-viral
SRR20766474.13614.1,Non-viral
SRR20766474.13616.1,Non-viral
SRR20766474.13619.1,Non-viral
SRR20766474.13621.1,Non-viral
SRR20766474.13622.1,Non-viral
SRR20766474.13623.1,Non-viral
SRR20766474.13624.1,Non-viral
SRR20766474.13626.1,Non-viral
SRR20766474.13628.1,Non-viral
SRR20766474.13631.1,Non-viral
SRR20766474.13632.1,Non-viral
SRR20766474.13635.1,Non-viral
SRR20766474.13642.1,Non-viral
SRR20766474.13645.1,Non-viral
SRR20766474.13650.1,Non-viral
SRR20766474.13651.1,Non-viral
SRR20766474.13654.1,Non-viral
SRR20766474.13657.1,Non-viral
SRR20766474.13662.1,Non-viral
SRR20766474.13665.1,Non-viral
SRR20766474.13671.1,Non-viral
SRR20766474.13686.1,Non-viral
SRR20766474.13701.1,Non-viral
SRR20766474.13709.1,Non-viral
SRR20766474.13716.1,Non-viral
SRR20766474.13718.1,Non-viral
SRR20766474.13719.1,Non-viral
SRR20766474.13721.1,Non-viral
SRR20766474.13724.1,Non-viral
SRR20766474.13727.1,Non-viral
SRR20766474.13730.1,Non-viral
SRR20766474.13732.1,Non-viral
SRR20766474.13739.1,Non-viral
SRR20766474.13745.1,Non-viral
SRR20766474.13748.1,Non-viral
SRR20766474.13750.1,Non-viral
SRR20766474.13754.1,Non-viral
SRR20766474.13755.1,Non-viral
SRR20766474.13756.1,Non-viral
SRR20766474.13758.1,Non-viral
SRR20766474.13761.1,Non-viral
SRR20766474.13762.1,Non-viral
SRR20766474.13765.1,Non-viral
SRR20766474.13766.1,Non-viral
SRR20766474.13769.1,Non-viral
SRR20766474.13770.1,Non-viral
SRR20766474.13772.1,Non-viral
SRR20766474.13774.1,Non-viral
SRR20766474.13778.1,Non-viral
SRR20766474.13784.1,Non-viral
SRR20766474.13786.1,Non-viral
SRR20766474.13787.1,Non-viral
SRR20766474.13795.1,Non-viral
SRR20766474.13805.1,Non-viral
SRR20766474.13807.1,Non-viral
SRR20766474.13808.1,Non-viral
SRR20766474.13809.1,Non-viral
SRR20766474.13811.1,Non-viral
SRR20766474.13814.1,Non-viral
SRR20766474.13816.1,Non-viral
SRR20766474.13817.1,Non-viral
SRR20766474.13822.1,Non-viral
SRR20766474.13823.1,Non-viral
SRR20766474.13833.1,Non-viral
SRR20766474.13835.1,Non-viral
SRR20766474.13839.1,Non-viral
SRR20766474.13845.1,Non-viral
SRR20766474.13846.1,Non-viral
SRR20766474.13847.1,Non-viral
SRR20766474.13849.1,Non-viral
SRR20766474.13852.1,Non-viral
SRR20766474.13855.1,Non-viral
SRR20766474.13857.1,Non-viral
SRR20766474.13859.1,Non-viral
SRR20766474.13864.1,Non-viral
SRR20766474.13880.1,Non-viral
SRR20766474.13881.1,Non-viral
SRR20766474.13883.1,Non-viral
SRR20766474.13884.1,Non-viral
SRR20766474.13886.1,Non-viral
SRR20766474.13887.1,Non-viral
SRR20766474.13888.1,Non-viral
SRR20766474.13891.1,Non-viral
SRR20766474.13895.1,Non-viral
SRR20766474.13896.1,Non-viral
SRR20766474.13898.1,Non-viral
SRR20766474.13899.1,Non-viral
SRR20766474.13900.1,Non-viral
SRR20766474.13902.1,Non-viral
SRR20766474.13903.1,Non-viral
SRR20766474.13904.1,Non-viral
SRR20766474.13909.1,Non-viral
SRR20766474.13915.1,Non-viral
SRR20766474.13917.1,Non-viral
SRR20766474.13920.1,Non-viral
SRR20766474.13925.1,Non-viral
SRR20766474.13926.1,Non-viral
SRR20766474.13930.1,Non-viral
SRR20766474.13932.1,Non-viral
SRR20766474.13933.1,Non-viral
SRR20766474.13936.1,Non-viral
SRR20766474.13938.1,Non-viral
SRR20766474.13941.1,Non-viral
SRR20766474.13943.1,Non-viral
SRR20766474.13945.1,Non-viral
SRR20766474.13948.1,Non-viral
SRR20766474.13952.1,Non-viral
SRR20766474.13958.1,Non-viral
SRR20766474.13959.1,Non-viral
SRR20766474.13967.1,Non-viral
SRR20766474.13968.1,Non-viral
SRR20766474.13971.1,Non-viral
SRR20766474.13974.1,Non-viral
SRR20766474.13975.1,Non-viral
SRR20766474.13976.1,Non-viral
SRR20766474.13977.1,Non-viral
SRR20766474.13978.1,Non-viral
SRR20766474.13983.1,Non-viral
SRR20766474.13997.1,Non-viral
SRR20766474.14007.1,Non-viral
SRR20766474.14009.1,Non-viral
SRR20766474.14012.1,Non-viral
SRR20766474.14013.1,Non-viral
SRR20766474.14014.1,Non-viral
SRR20766474.14016.1,Non-viral
SRR20766474.14019.1,Non-viral
SRR20766474.14021.1,Non-viral
SRR20766474.14025.1,Non-viral
SRR20766474.14027.1,Non-viral
SRR20766474.14028.1,Non-viral
SRR20766474.14030.1,Non-viral
SRR20766474.14032.1,Non-viral
SRR20766474.14035.1,Non-viral
SRR20766474.14037.1,Non-viral
SRR20766474.14045.1,Non-viral
SRR20766474.14048.1,Non-viral
SRR20766474.14054.1,Non-viral
SRR20766474.14055.1,Non-viral
SRR20766474.14057.1,Non-viral
SRR20766474.14060.1,Non-viral
SRR20766474.14063.1,Non-viral
SRR20766474.14065.1,Non-viral
SRR20766474.14066.1,Non-viral
SRR20766474.14069.1,Non-viral
SRR20766474.14076.1,Non-viral
SRR20766474.14077.1,Non-viral
SRR20766474.14080.1,Non-viral
SRR20766474.14086.1,Non-viral
SRR20766474.14090.1,Non-viral
SRR20766474.14093.1,Non-viral
SRR20766474.14095.1,Non-viral
SRR20766474.14096.1,Non-viral
SRR20766474.14098.1,Non-viral
SRR20766474.14100.1,Non-viral
SRR20766474.14103.1,Non-viral
SRR20766474.14105.1,Non-viral
SRR20766474.14109.1,Non-viral
SRR20766474.14113.1,Non-viral
SRR20766474.14116.1,Non-viral
SRR20766474.14118.1,Non-viral
SRR20766474.14120.1,Non-viral
SRR20766474.14124.1,Non-viral
SRR20766474.14125.1,Non-viral
SRR20766474.14126.1,Non-viral
SRR20766474.14128.1,Non-viral
SRR20766474.14129.1,Non-viral
SRR20766474.14131.1,Non-viral
SRR20766474.14132.1,Non-viral
SRR20766474.14133.1,Non-viral
SRR20766474.14137.1,Non-viral
SRR20766474.14138.1,Non-viral
SRR20766474.14141.1,Non-viral
SRR20766474.14142.1,Non-viral
SRR20766474.14145.1,Non-viral
SRR20766474.14146.1,Non-viral
SRR20766474.14152.1,Non-viral
SRR20766474.14153.1,Non-viral
SRR20766474.14154.1,Non-viral
SRR20766474.14156.1,Non-viral
SRR20766474.14158.1,Non-viral
SRR20766474.14159.1,Non-viral
SRR20766474.14167.1,Non-viral
SRR20766474.14168.1,Non-viral
SRR20766474.14172.1,Non-viral
SRR20766474.14174.1,Non-viral
SRR20766474.14176.1,Non-viral
SRR20766474.14180.1,Non-viral
SRR20766474.14186.1,Non-viral
SRR20766474.14191.1,Non-viral
SRR20766474.14192.1,Non-viral
SRR20766474.14194.1,Non-viral
SRR20766474.14195.1,Non-viral
SRR20766474.14200.1,Non-viral
SRR20766474.14203.1,Non-viral
SRR20766474.14213.1,Non-viral
SRR20766474.14217.1,Non-viral
SRR20766474.14218.1,Non-viral
SRR20766474.14223.1,Non-viral
SRR20766474.14226.1,Non-viral
SRR20766474.14228.1,Non-viral
SRR20766474.14229.1,Non-viral
SRR20766474.14231.1,Non-viral
SRR20766474.14236.1,Non-viral
SRR20766474.14243.1,Non-viral
SRR20766474.14247.1,Non-viral
SRR20766474.14248.1,Non-viral
SRR20766474.14252.1,Non-viral
SRR20766474.14253.1,Non-viral
SRR20766474.14254.1,Non-viral
SRR20766474.14259.1,Non-viral
SRR20766474.14263.1,Non-viral
SRR20766474.14266.1,Non-viral
SRR20766474.14269.1,Non-viral
SRR20766474.14279.1,Non-viral
SRR20766474.14283.1,Non-viral
SRR20766474.14288.1,Non-viral
SRR20766474.14293.1,Non-viral
SRR20766474.14294.1,Non-viral
SRR20766474.14300.1,Non-viral
SRR20766474.14301.1,Non-viral
SRR20766474.14307.1,Non-viral
SRR20766474.14318.1,Non-viral
SRR20766474.14321.1,Non-viral
SRR20766474.14324.1,Non-viral
SRR20766474.14334.1,Non-viral
SRR20766474.14335.1,Non-viral
SRR20766474.14338.1,Non-viral
SRR20766474.14341.1,Non-viral
SRR20766474.14343.1,Non-viral
SRR20766474.14347.1,Non-viral
SRR20766474.14349.1,Non-viral
SRR20766474.14352.1,Non-viral
SRR20766474.14355.1,Non-viral
SRR20766474.14359.1,Non-viral
SRR20766474.14360.1,Non-viral
SRR20766474.14361.1,Non-viral
SRR20766474.14363.1,Non-viral
SRR20766474.14367.1,Non-viral
SRR20766474.14369.1,Non-viral
SRR20766474.14370.1,Non-viral
SRR20766474.14375.1,Non-viral
SRR20766474.14376.1,Non-viral
SRR20766474.14384.1,Non-viral
SRR20766474.14386.1,Non-viral
SRR20766474.14388.1,Non-viral
SRR20766474.14389.1,Non-viral
SRR20766474.14390.1,Non-viral
SRR20766474.14392.1,Non-viral
SRR20766474.14401.1,Non-viral
SRR20766474.14402.1,Non-viral
SRR20766474.14403.1,Non-viral
SRR20766474.14408.1,Non-viral
SRR20766474.14409.1,Non-viral
SRR20766474.14413.1,Non-viral
SRR20766474.14418.1,Non-viral
SRR20766474.14421.1,Non-viral
SRR20766474.14424.1,Non-viral
SRR20766474.14425.1,Non-viral
SRR20766474.14426.1,Non-viral
SRR20766474.14430.1,Non-viral
SRR20766474.14435.1,Non-viral
SRR20766474.14436.1,Non-viral
SRR20766474.14439.1,Non-viral
SRR20766474.14440.1,Non-viral
SRR20766474.14442.1,Non-viral
SRR20766474.14447.1,Non-viral
SRR20766474.14455.1,Non-viral
SRR20766474.14456.1,Non-viral
SRR20766474.14460.1,Non-viral
SRR20766474.14465.1,Non-viral
SRR20766474.14467.1,Non-viral
SRR20766474.14470.1,Non-viral
SRR20766474.14474.1,Non-viral
SRR20766474.14475.1,Non-viral
SRR20766474.14477.1,Non-viral
SRR20766474.14478.1,Non-viral
SRR20766474.14481.1,Non-viral
SRR20766474.14483.1,Non-viral
SRR20766474.14488.1,Non-viral
SRR20766474.14490.1,Non-viral
SRR20766474.14492.1,Non-viral
SRR20766474.14496.1,Non-viral
SRR20766474.14499.1,Non-viral
SRR20766474.14505.1,Non-viral
SRR20766474.14506.1,Non-viral
SRR20766474.14508.1,Non-viral
SRR20766474.14510.1,Non-viral
SRR20766474.14516.1,Non-viral
SRR20766474.14517.1,Non-viral
SRR20766474.14521.1,Non-viral
SRR20766474.14528.1,Non-viral
SRR20766474.14529.1,Non-viral
SRR20766474.14532.1,Non-viral
SRR20766474.14537.1,Non-viral
SRR20766474.14540.1,Non-viral
SRR20766474.14542.1,Non-viral
SRR20766474.14544.1,Non-viral
SRR20766474.14546.1,Non-viral
SRR20766474.14560.1,Non-viral
SRR20766474.14564.1,Non-viral
SRR20766474.14570.1,Non-viral
SRR20766474.14572.1,Non-viral
SRR20766474.14574.1,Non-viral
SRR20766474.14582.1,Non-viral
SRR20766474.14584.1,Non-viral
SRR20766474.14586.1,Non-viral
SRR20766474.14593.1,Non-viral
SRR20766474.14601.1,Non-viral
SRR20766474.14604.1,Non-viral
SRR20766474.14606.1,Non-viral
SRR20766474.14608.1,Non-viral
SRR20766474.14614.1,Non-viral
SRR20766474.14616.1,Non-viral
SRR20766474.14620.1,Non-viral
SRR20766474.14622.1,Non-viral
SRR20766474.14623.1,Non-viral
SRR20766474.14629.1,Non-viral
SRR20766474.14633.1,Non-viral
SRR20766474.14640.1,Non-viral
SRR20766474.14645.1,Non-viral
SRR20766474.14647.1,Non-viral
SRR20766474.14653.1,Non-viral
SRR20766474.14655.1,Non-viral
SRR20766474.14658.1,Non-viral
SRR20766474.14661.1,Non-viral
SRR20766474.14662.1,Non-viral
SRR20766474.14665.1,Non-viral
SRR20766474.14671.1,Non-viral
SRR20766474.14672.1,Non-viral
SRR20766474.14674.1,Non-viral
SRR20766474.14676.1,Non-viral
SRR20766474.14677.1,Non-viral
SRR20766474.14679.1,Non-viral
SRR20766474.14681.1,Non-viral
SRR20766474.14684.1,Non-viral
SRR20766474.14686.1,Non-viral
SRR20766474.14694.1,Non-viral
SRR20766474.14697.1,Non-viral
SRR20766474.14698.1,Non-viral
SRR20766474.14699.1,Non-viral
SRR20766474.14700.1,Non-viral
SRR20766474.14709.1,Non-viral
SRR20766474.14713.1,Non-viral
SRR20766474.14719.1,Non-viral
SRR20766474.14722.1,Non-viral
SRR20766474.14724.1,Non-viral
SRR20766474.14726.1,Non-viral
SRR20766474.14728.1,Non-viral
SRR20766474.14730.1,Non-viral
SRR20766474.14738.1,Non-viral
SRR20766474.14739.1,Non-viral
SRR20766474.14742.1,Non-viral
SRR20766474.14746.1,Non-viral
SRR20766474.14750.1,Non-viral
SRR20766474.14753.1,Non-viral
SRR20766474.14755.1,Non-viral
SRR20766474.14756.1,Non-viral
SRR20766474.14757.1,Non-viral
SRR20766474.14762.1,Non-viral
SRR20766474.14766.1,Non-viral
SRR20766474.14773.1,Non-viral
SRR20766474.14776.1,Non-viral
SRR20766474.14782.1,Non-viral
SRR20766474.14783.1,Non-viral
SRR20766474.14788.1,Non-viral
SRR20766474.14794.1,Non-viral
SRR20766474.14795.1,Non-viral
SRR20766474.14796.1,Non-viral
SRR20766474.14797.1,Non-viral
SRR20766474.14799.1,Non-viral
SRR20766474.14801.1,Non-viral
SRR20766474.14802.1,Non-viral
SRR20766474.14805.1,Non-viral
SRR20766474.14809.1,Non-viral
SRR20766474.14810.1,Non-viral
SRR20766474.14813.1,Non-viral
SRR20766474.14814.1,Non-viral
SRR20766474.14817.1,Non-viral
SRR20766474.14825.1,Non-viral
SRR20766474.14828.1,Non-viral
SRR20766474.14829.1,Non-viral
SRR20766474.14830.1,Non-viral
SRR20766474.14832.1,Non-viral
SRR20766474.14834.1,Non-viral
SRR20766474.14837.1,Non-viral
SRR20766474.14838.1,Non-viral
SRR20766474.14839.1,Non-viral
SRR20766474.14845.1,Non-viral
SRR20766474.14848.1,Non-viral
SRR20766474.14854.1,Non-viral
SRR20766474.14857.1,Non-viral
SRR20766474.14859.1,Non-viral
SRR20766474.14865.1,Non-viral
SRR20766474.14868.1,Non-viral
SRR20766474.14876.1,Non-viral
SRR20766474.14879.1,Non-viral
SRR20766474.14884.1,Non-viral
SRR20766474.14886.1,Non-viral
SRR20766474.14887.1,Non-viral
SRR20766474.14888.1,Non-viral
SRR20766474.14889.1,Non-viral
SRR20766474.14891.1,Non-viral
SRR20766474.14896.1,Non-viral
SRR20766474.14897.1,Non-viral
SRR20766474.14898.1,Non-viral
SRR20766474.14901.1,Non-viral
SRR20766474.14904.1,Non-viral
SRR20766474.14907.1,Non-viral
SRR20766474.14910.1,Non-viral
SRR20766474.14915.1,Non-viral
SRR20766474.14917.1,Non-viral
SRR20766474.14919.1,Non-viral
SRR20766474.14925.1,Non-viral
SRR20766474.14926.1,Non-viral
SRR20766474.14928.1,Non-viral
SRR20766474.14930.1,Non-viral
SRR20766474.14934.1,Non-viral
SRR20766474.14937.1,Non-viral
SRR20766474.14938.1,Non-viral
SRR20766474.14943.1,Non-viral
SRR20766474.14945.1,Non-viral
SRR20766474.14948.1,Non-viral
SRR20766474.14951.1,Non-viral
SRR20766474.14954.1,Non-viral
SRR20766474.14956.1,Non-viral
SRR20766474.14958.1,Non-viral
SRR20766474.14959.1,Non-viral
SRR20766474.14962.1,Non-viral
SRR20766474.14963.1,Non-viral
SRR20766474.14966.1,Non-viral
SRR20766474.14969.1,Non-viral
SRR20766474.14974.1,Non-viral
SRR20766474.14978.1,Non-viral
SRR20766474.14981.1,Non-viral
SRR20766474.14983.1,Non-viral
SRR20766474.14990.1,Non-viral
SRR20766474.14991.1,Non-viral
SRR20766474.14992.1,Non-viral
SRR20766474.14995.1,Non-viral
SRR20766474.14998.1,Non-viral
SRR20766474.14999.1,Non-viral
SRR20766474.15000.1,Non-viral
SRR20766474.15006.1,Non-viral
SRR20766474.15007.1,Non-viral
SRR20766474.15008.1,Non-viral
SRR20766474.15009.1,Non-viral
SRR20766474.15011.1,Non-viral
SRR20766474.15013.1,Non-viral
SRR20766474.15015.1,Non-viral
SRR20766474.15021.1,Non-viral
SRR20766474.15023.1,Non-viral
SRR20766474.15024.1,Non-viral
SRR20766474.15026.1,Non-viral
SRR20766474.15035.1,Non-viral
SRR20766474.15039.1,Non-viral
SRR20766474.15042.1,Non-viral
SRR20766474.15043.1,Non-viral
SRR20766474.15051.1,Non-viral
SRR20766474.15054.1,Non-viral
SRR20766474.15055.1,Non-viral
SRR20766474.15056.1,Non-viral
SRR20766474.15058.1,Non-viral
SRR20766474.15059.1,Non-viral
SRR20766474.15060.1,Non-viral
SRR20766474.15065.1,Non-viral
SRR20766474.15066.1,Non-viral
SRR20766474.15068.1,Non-viral
SRR20766474.15069.1,Non-viral
SRR20766474.15073.1,Non-viral
SRR20766474.15085.1,Non-viral
SRR20766474.15086.1,Non-viral
SRR20766474.15090.1,Non-viral
SRR20766474.15096.1,Non-viral
SRR20766474.15099.1,Non-viral
SRR20766474.15108.1,Non-viral
SRR20766474.15109.1,Non-viral
SRR20766474.15110.1,Non-viral
SRR20766474.15111.1,Non-viral
SRR20766474.15118.1,Non-viral
SRR20766474.15121.1,Non-viral
SRR20766474.15122.1,Non-viral
SRR20766474.15123.1,Non-viral
SRR20766474.15124.1,Non-viral
SRR20766474.15128.1,Non-viral
SRR20766474.15129.1,Non-viral
SRR20766474.15132.1,Non-viral
SRR20766474.15135.1,Non-viral
SRR20766474.15139.1,Non-viral
SRR20766474.15140.1,Non-viral
SRR20766474.15142.1,Non-viral
SRR20766474.15148.1,Non-viral
SRR20766474.15151.1,Non-viral
SRR20766474.15154.1,Non-viral
SRR20766474.15155.1,Non-viral
SRR20766474.15157.1,Non-viral
SRR20766474.15158.1,Non-viral
SRR20766474.15159.1,Non-viral
SRR20766474.15160.1,Non-viral
SRR20766474.15163.1,Non-viral
SRR20766474.15169.1,Non-viral
SRR20766474.15171.1,Non-viral
SRR20766474.15175.1,Non-viral
SRR20766474.15181.1,Non-viral
SRR20766474.15182.1,Non-viral
SRR20766474.15183.1,Non-viral
SRR20766474.15187.1,Non-viral
SRR20766474.15188.1,Non-viral
SRR20766474.15191.1,Non-viral
SRR20766474.15192.1,Non-viral
SRR20766474.15194.1,Non-viral
SRR20766474.15195.1,Non-viral
SRR20766474.15201.1,Non-viral
SRR20766474.15203.1,Non-viral
SRR20766474.15207.1,Non-viral
SRR20766474.15208.1,Non-viral
SRR20766474.15209.1,Non-viral
SRR20766474.15210.1,Non-viral
SRR20766474.15216.1,Non-viral
SRR20766474.15223.1,Non-viral
SRR20766474.15229.1,Non-viral
SRR20766474.15234.1,Non-viral
SRR20766474.15236.1,Non-viral
SRR20766474.15241.1,Non-viral
SRR20766474.15243.1,Non-viral
SRR20766474.15247.1,Non-viral
SRR20766474.15251.1,Non-viral
SRR20766474.15252.1,Non-viral
SRR20766474.15256.1,Non-viral
SRR20766474.15258.1,Non-viral
SRR20766474.15259.1,Non-viral
SRR20766474.15262.1,Non-viral
SRR20766474.15263.1,Non-viral
SRR20766474.15265.1,Non-viral
SRR20766474.15269.1,Non-viral
SRR20766474.15270.1,Non-viral
SRR20766474.15276.1,Non-viral
SRR20766474.15277.1,Non-viral
SRR20766474.15283.1,Non-viral
SRR20766474.15286.1,Non-viral
SRR20766474.15289.1,Non-viral
SRR20766474.15291.1,Non-viral
SRR20766474.15292.1,Non-viral
SRR20766474.15301.1,Non-viral
SRR20766474.15305.1,Non-viral
SRR20766474.15307.1,Non-viral
SRR20766474.15308.1,Non-viral
SRR20766474.15310.1,Non-viral
SRR20766474.15314.1,Non-viral
SRR20766474.15317.1,Non-viral
SRR20766474.15319.1,Non-viral
SRR20766474.15321.1,Non-viral
SRR20766474.15324.1,Non-viral
SRR20766474.15326.1,Non-viral
SRR20766474.15331.1,Non-viral
SRR20766474.15332.1,Non-viral
SRR20766474.15335.1,Non-viral
SRR20766474.15336.1,Non-viral
SRR20766474.15338.1,Non-viral
SRR20766474.15340.1,Non-viral
SRR20766474.15341.1,Non-viral
SRR20766474.15344.1,Non-viral
SRR20766474.15347.1,Non-viral
SRR20766474.15350.1,Non-viral
SRR20766474.15354.1,Non-viral
SRR20766474.15355.1,Non-viral
SRR20766474.15357.1,Non-viral
SRR20766474.15358.1,Non-viral
SRR20766474.15362.1,Non-viral
SRR20766474.15363.1,Non-viral
SRR20766474.15367.1,Non-viral
SRR20766474.15368.1,Non-viral
SRR20766474.15376.1,Non-viral
SRR20766474.15377.1,Non-viral
SRR20766474.15379.1,Non-viral
SRR20766474.15380.1,Non-viral
SRR20766474.15382.1,Non-viral
SRR20766474.15384.1,Non-viral
SRR20766474.15385.1,Non-viral
SRR20766474.15388.1,Non-viral
SRR20766474.15393.1,Non-viral
SRR20766474.15399.1,Non-viral
SRR20766474.15400.1,Non-viral
SRR20766474.15403.1,Non-viral
SRR20766474.15404.1,Non-viral
SRR20766474.15405.1,Non-viral
SRR20766474.15407.1,Non-viral
SRR20766474.15414.1,Non-viral
SRR20766474.15424.1,Non-viral
SRR20766474.15425.1,Non-viral
SRR20766474.15427.1,Non-viral
SRR20766474.15430.1,Non-viral
SRR20766474.15431.1,Non-viral
SRR20766474.15432.1,Non-viral
SRR20766474.15433.1,Non-viral
SRR20766474.15436.1,Non-viral
SRR20766474.15437.1,Non-viral
SRR20766474.15439.1,Non-viral
SRR20766474.15441.1,Non-viral
SRR20766474.15444.1,Non-viral
SRR20766474.15449.1,Non-viral
SRR20766474.15451.1,Non-viral
SRR20766474.15452.1,Non-viral
SRR20766474.15468.1,Non-viral
SRR20766474.15471.1,Non-viral
SRR20766474.15473.1,Non-viral
SRR20766474.15474.1,Non-viral
SRR20766474.15477.1,Non-viral
SRR20766474.15478.1,Non-viral
SRR20766474.15479.1,Non-viral
SRR20766474.15481.1,Non-viral
SRR20766474.15483.1,Non-viral
SRR20766474.15486.1,Non-viral
SRR20766474.15492.1,Non-viral
SRR20766474.15497.1,Non-viral
SRR20766474.15502.1,Non-viral
SRR20766474.15503.1,Non-viral
SRR20766474.15504.1,Non-viral
SRR20766474.15505.1,Non-viral
SRR20766474.15506.1,Non-viral
SRR20766474.15508.1,Non-viral
SRR20766474.15513.1,Non-viral
SRR20766474.15515.1,Non-viral
SRR20766474.15517.1,Non-viral
SRR20766474.15519.1,Non-viral
SRR20766474.15524.1,Non-viral
SRR20766474.15525.1,Non-viral
SRR20766474.15528.1,Non-viral
SRR20766474.15531.1,Non-viral
SRR20766474.15532.1,Non-viral
SRR20766474.15541.1,Non-viral
SRR20766474.15542.1,Non-viral
SRR20766474.15543.1,Non-viral
SRR20766474.15548.1,Non-viral
SRR20766474.15551.1,Non-viral
SRR20766474.15554.1,Non-viral
SRR20766474.15559.1,Non-viral
SRR20766474.15561.1,Non-viral
SRR20766474.15562.1,Non-viral
SRR20766474.15563.1,Non-viral
SRR20766474.15566.1,Non-viral
SRR20766474.15569.1,Non-viral
SRR20766474.15572.1,Non-viral
SRR20766474.15576.1,Non-viral
SRR20766474.15579.1,Non-viral
SRR20766474.15583.1,Non-viral
SRR20766474.15584.1,Non-viral
SRR20766474.15587.1,Non-viral
SRR20766474.15589.1,Non-viral
SRR20766474.15590.1,Non-viral
SRR20766474.15593.1,Non-viral
SRR20766474.15594.1,Non-viral
SRR20766474.15597.1,Non-viral
SRR20766474.15603.1,Non-viral
SRR20766474.15604.1,Non-viral
SRR20766474.15606.1,Non-viral
SRR20766474.15608.1,Non-viral
SRR20766474.15612.1,Non-viral
SRR20766474.15613.1,Non-viral
SRR20766474.15616.1,Non-viral
SRR20766474.15628.1,Non-viral
SRR20766474.15632.1,Non-viral
SRR20766474.15633.1,Non-viral
SRR20766474.15634.1,Non-viral
SRR20766474.15638.1,Non-viral
SRR20766474.15642.1,Non-viral
SRR20766474.15646.1,Non-viral
SRR20766474.15648.1,Non-viral
SRR20766474.15652.1,Non-viral
SRR20766474.15653.1,Non-viral
SRR20766474.15655.1,Non-viral
SRR20766474.15661.1,Non-viral
SRR20766474.15662.1,Non-viral
SRR20766474.15665.1,Non-viral
SRR20766474.15668.1,Non-viral
SRR20766474.15673.1,Non-viral
SRR20766474.15681.1,Non-viral
SRR20766474.15686.1,Non-viral
SRR20766474.15687.1,Non-viral
SRR20766474.15689.1,Non-viral
SRR20766474.15692.1,Non-viral
SRR20766474.15696.1,Non-viral
SRR20766474.15698.1,Non-viral
SRR20766474.15707.1,Non-viral
SRR20766474.15709.1,Non-viral
SRR20766474.15711.1,Non-viral
SRR20766474.15717.1,Non-viral
SRR20766474.15718.1,Non-viral
SRR20766474.15723.1,Non-viral
SRR20766474.15724.1,Non-viral
SRR20766474.15727.1,Non-viral
SRR20766474.15728.1,Non-viral
SRR20766474.15731.1,Non-viral
SRR20766474.15733.1,Non-viral
SRR20766474.15734.1,Non-viral
SRR20766474.15737.1,Non-viral
SRR20766474.15739.1,Non-viral
SRR20766474.15740.1,Non-viral
SRR20766474.15741.1,Non-viral
SRR20766474.15743.1,Non-viral
SRR20766474.15744.1,Non-viral
SRR20766474.15749.1,Non-viral
SRR20766474.15751.1,Non-viral
SRR20766474.15752.1,Non-viral
SRR20766474.15754.1,Non-viral
SRR20766474.15758.1,Non-viral
SRR20766474.15760.1,Non-viral
SRR20766474.15762.1,Non-viral
SRR20766474.15768.1,Non-viral
SRR20766474.15769.1,Non-viral
SRR20766474.15770.1,Non-viral
SRR20766474.15772.1,Non-viral
SRR20766474.15777.1,Non-viral
SRR20766474.15780.1,Non-viral
SRR20766474.15781.1,Non-viral
SRR20766474.15782.1,Non-viral
SRR20766474.15788.1,Non-viral
SRR20766474.15789.1,Non-viral
SRR20766474.15791.1,Non-viral
SRR20766474.15799.1,Non-viral
SRR20766474.15800.1,Non-viral
SRR20766474.15801.1,Non-viral
SRR20766474.15802.1,Non-viral
SRR20766474.15815.1,Non-viral
SRR20766474.15816.1,Non-viral
SRR20766474.15817.1,Non-viral
SRR20766474.15821.1,Non-viral
SRR20766474.15822.1,Non-viral
SRR20766474.15825.1,Non-viral
SRR20766474.15845.1,Non-viral
SRR20766474.15854.1,Non-viral
SRR20766474.15858.1,Non-viral
SRR20766474.15859.1,Non-viral
SRR20766474.15867.1,Non-viral
SRR20766474.15873.1,Non-viral
SRR20766474.15874.1,Non-viral
SRR20766474.15881.1,Non-viral
SRR20766474.15884.1,Non-viral
SRR20766474.15887.1,Non-viral
SRR20766474.15888.1,Non-viral
